 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:16:41                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


282 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000329 0x11E15FB8 0x00000008 0x11E15FA8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000473 0x11E16010 0x00000008 0x11E16000 0x00000028 0x00000000 new         N       N    ??(00000)::??
000455 0x11C56030 0x00000030 0x11C56020 0x00000050 0x0000000C new         N       N    ??(00000)::??
000335 0x11E16068 0x00000008 0x11E16058 0x00000028 0x00000000 new         N       N    ??(00000)::??
000216 0x1C946098 0x0002F940 0x1C946088 0x0002F960 0x00000000 new[]       N       N    ??(00000)::??
000396 0x11E160C0 0x00000008 0x11E160B0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000404 0x11E16118 0x00000008 0x11E16108 0x00000028 0x00000000 new         N       N    ??(00000)::??
000486 0x11C56130 0x00000030 0x11C56120 0x00000050 0x00000000 new         N       N    ??(00000)::??
000406 0x11E16170 0x00000008 0x11E16160 0x00000028 0x00000000 new         N       N    ??(00000)::??
000400 0x11E161C8 0x00000008 0x11E161B8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000338 0x11E16220 0x00000008 0x11E16210 0x00000028 0x00000000 new         N       N    ??(00000)::??
000241 0x11C56230 0x00000030 0x11C56220 0x00000050 0x00000000 new         N       N    ??(00000)::??
000264 0x11E16278 0x00000008 0x11E16268 0x00000028 0x00000000 new         N       N    ??(00000)::??
000475 0x11E162D0 0x00000008 0x11E162C0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000476 0x11E16328 0x00000008 0x11E16318 0x00000028 0x00000000 new         N       N    ??(00000)::??
000645 0x1CEC6358 0x00015960 0x1CEC6348 0x00015980 0x00013C98 new[]       N       N    ??(00000)::??
000325 0x11E16380 0x00000008 0x11E16370 0x00000028 0x00000000 new         N       N    ??(00000)::??
000243 0x11C563B0 0x00000030 0x11C563A0 0x00000050 0x00000000 new         N       N    ??(00000)::??
000399 0x11E163D8 0x00000008 0x11E163C8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000496 0x11E46408 0x00001068 0x11E463F8 0x00001088 0x00000000 new[]       N       N    ??(00000)::??
000551 0x11C56430 0x00000030 0x11C56420 0x00000050 0x00000004 new         N       N    ??(00000)::??
000526 0x117F6430 0x00000040 0x117F6420 0x00000060 0x00000000 new         N       N    ??(00000)::??
000333 0x11E16430 0x00000008 0x11E16420 0x00000028 0x00000000 new         N       N    ??(00000)::??
000401 0x11E16488 0x00000008 0x11E16478 0x00000028 0x00000000 new         N       N    ??(00000)::??
000480 0x11C564B0 0x00000030 0x11C564A0 0x00000050 0x00000004 new         N       N    ??(00000)::??
000407 0x11E164E0 0x00000008 0x11E164D0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000557 0x11C56530 0x00000030 0x11C56520 0x00000050 0x00000000 new         N       N    ??(00000)::??
000552 0x11E16538 0x00000008 0x11E16528 0x00000028 0x00000000 new         N       N    ??(00000)::??
000332 0x11E16590 0x00000008 0x11E16580 0x00000028 0x00000000 new         N       N    ??(00000)::??
