 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:33:36                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


192 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000312 0x1AE7A2A0 0x000019DC 0x1AE7A290 0x000019FC 0x00000000 new[]       N       N    ??(00000)::??
000212 0x1171A550 0x00000140 0x1171A540 0x00000160 0x00000018 new         N       N    ??(00000)::??
000353 0x1173A5F8 0x00000020 0x1173A5E8 0x00000040 0x00000000 new         N       N    ??(00000)::??
000355 0x1173A640 0x0000001C 0x1173A630 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000114 0x1173A6D0 0x0000001C 0x1173A6C0 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000102 0x1173A718 0x00000020 0x1173A708 0x00000040 0x00000000 new         N       N    ??(00000)::??
000147 0x1173A760 0x00000020 0x1173A750 0x00000040 0x00000000 new         N       N    ??(00000)::??
000094 0x10F2A7B0 0x000004D0 0x10F2A7A0 0x000004F0 0x00000220 new[]       N       N    ??(00000)::??
000331 0x20C5A868 0x00002538 0x20C5A858 0x00002558 0x00000000 new[]       N       N    ??(00000)::??
000112 0x1173AA78 0x00000020 0x1173AA68 0x00000040 0x00000000 new         N       N    ??(00000)::??
000149 0x1173AAC0 0x0000001C 0x1173AAB0 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000349 0x1171ADC0 0x00000140 0x1171ADB0 0x00000160 0x00000018 new         N       N    ??(00000)::??
000315 0x1171AF28 0x00000140 0x1171AF18 0x00000160 0x00000018 new         N       N    ??(00000)::??
000137 0x1173B018 0x00000020 0x1173B008 0x00000040 0x00000000 new         N       N    ??(00000)::??
000363 0x1C5AB030 0x000FAEC0 0x1C5AB020 0x000FAEE0 0x00000000 new[]       N       N    ??(00000)::??
000161 0x0433B030 0x000A88A0 0x0433B020 0x000A88C0 0x00000000 new[]       N       N    ??(00000)::??
000246 0x1171B1F8 0x00000140 0x1171B1E8 0x00000160 0x00000018 new         N       N    ??(00000)::??
000250 0x1173B378 0x00000020 0x1173B368 0x00000040 0x00000000 new         N       N    ??(00000)::??
000252 0x1173B4E0 0x0000001C 0x1173B4D0 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000240 0x1173B570 0x00000020 0x1173B560 0x00000040 0x00000000 new         N       N    ??(00000)::??
000280 0x1171B630 0x00000140 0x1171B620 0x00000160 0x00000018 new         N       N    ??(00000)::??
000143 0x1171B798 0x00000140 0x1171B788 0x00000160 0x00000018 new         N       N    ??(00000)::??
000379 0x2509BAF0 0x00000030 0x2509BAE0 0x00000050 0x00000008 new         N       N    ??(00000)::??
000178 0x1171BBD0 0x00000140 0x1171BBC0 0x00000160 0x00000018 new         N       N    ??(00000)::??
000088 0x1146BD90 0x00000330 0x1146BD80 0x00000350 0x00000000 new[]       N       N    ??(00000)::??
000215 0x112EC028 0x00000238 0x112EC018 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000234 0x1FEDC030 0x001A4BD1 0x1FEDC020 0x001A4BF1 0x00000000 new[]       N       N    ??(00000)::??
000232 0x1F87C030 0x00149E88 0x1F87C020 0x00149EA8 0x00088440 new[]       N       N    ??(00000)::??
000225 0x1EEBC030 0x000CC660 0x1EEBC020 0x000CC680 0x00000000 new[]       N       N    ??(00000)::??
000163 0x043FC030 0x000FCCF8 0x043FC020 0x000FCD18 0x000705C0 new[]       N       N    ??(00000)::??
000105 0x1A66C030 0x00137D20 0x1A66C020 0x00137D40 0x00000000 new[]       N       N    ??(00000)::??
000283 0x112EC4F8 0x00000238 0x112EC4E8 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000333 0x1AF6C530 0x00015960 0x1AF6C520 0x00015980 0x00013C98 new[]       N       N    ??(00000)::??
000092 0x1146C5F0 0x00000330 0x1146C5E0 0x00000350 0x00000000 new[]       N       N    ??(00000)::??
000160 0x206CD018 0x00054450 0x206CD008 0x00054470 0x00000000 new[]       N       N    ??(00000)::??
000195 0x1D74D030 0x000CF7E0 0x1D74D020 0x000CF800 0x00000000 new[]       N       N    ??(00000)::??
000293 0x1146D048 0x00000038 0x1146D038 0x00000058 0x00000000 new         N       N    ??(00000)::??
000362 0x1146D0A8 0x00000038 0x1146D098 0x00000058 0x00000000 new         N       N    ??(00000)::??
000327 0x1146D228 0x00000038 0x1146D218 0x00000058 0x00000000 new         N       N    ??(00000)::??
000156 0x1146D3A8 0x00000038 0x1146D398 0x00000058 0x00000000 new         N       N    ??(00000)::??
000016 0x0146D3A8 0x000001F4 0x0146D398 0x00000214 0x000001EC new[]       N       N    ??(00000)::??
000210 0x1146D468 0x00000038 0x1146D458 0x00000058 0x00000000 new         N       N    ??(00000)::??
000249 0x112ED5D0 0x00000238 0x112ED5C0 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000259 0x1146D828 0x00000038 0x1146D818 0x00000058 0x00000000 new         N       N    ??(00000)::??
000176 0x1146D8E8 0x00000038 0x1146D8D8 0x00000058 0x00000000 new         N       N    ??(00000)::??
000087 0x1146DAC8 0x00000038 0x1146DAB8 0x00000058 0x00000000 new         N       N    ??(00000)::??
000121 0x1146DBE8 0x00000038 0x1146DBD8 0x00000058 0x00000000 new         N       N    ??(00000)::??
000214 0x1171DEE0 0x000000D4 0x1171DED0 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000366 0x1ACADFC8 0x00075F30 0x1ACADFB8 0x00075F50 0x00000000 new[]       N       N    ??(00000)::??
000369 0x2273E030 0x00170DF8 0x2273E020 0x00170E18 0x000A7480 new[]       N       N    ??(00000)::??
000294 0x1B24E510 0x00003960 0x1B24E500 0x00003980 0x00000000 new[]       N       N    ??(00000)::??
000260 0x1AF8E648 0x00001068 0x1AF8E638 0x00001088 0x00000000 new[]       N       N    ??(00000)::??
000146 0x1175ED38 0x00000238 0x1175ED28 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000243 0x213FF030 0x001E58DE 0x213FF020 0x001E58FE 0x00000000 new[]       N       N    ??(00000)::??
000196 0x1E87F030 0x0033DF80 0x1E87F020 0x0033DFA0 0x002F8CE0 new[]       N       N    ??(00000)::??
000308 0x10C5F098 0x00000020 0x10C5F088 0x00000040 0x00000000 new         N       N    ??(00000)::??
000309 0x10C5F2D8 0x00000020 0x10C5F2C8 0x00000040 0x00000000 new         N       N    ??(00000)::??
000310 0x10C5F320 0x00000020 0x10C5F310 0x00000040 0x00000000 new         N       N    ??(00000)::??
000274 0x10C5FA28 0x00000020 0x10C5FA18 0x00000040 0x00000000 new         N       N    ??(00000)::??
000286 0x10C5FA70 0x0000001C 0x10C5FA60 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000377 0x0147FC90 0x00000030 0x0147FC80 0x00000050 0x00000008 new         N       N    ??(00000)::??
000077 0x1144FCE0 0x00000238 0x1144FCD0 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000319 0x10C5FCF8 0x00000020 0x10C5FCE8 0x00000040 0x00000000 new         N       N    ??(00000)::??
000284 0x10C5FE18 0x00000020 0x10C5FE08 0x00000040 0x00000000 new         N       N    ??(00000)::??
000321 0x10C5FE60 0x0000001C 0x10C5FE50 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000111 0x1144FF40 0x00000238 0x1144FF30 0x00000258 0x000000A0 new         N       N    ??(00000)::??
