 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/26/2024 15:34:13                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


192 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000274 0x1095E9D0 0x00000020 0x1095E9C0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000088 0x1067EC10 0x00000330 0x1067EC00 0x00000350 0x00000000 new[]       N       N    ??(00000)::??
000266 0x1B4EEDF0 0x00002060 0x1B4EEDE0 0x00002080 0x00000AF0 new[]       N       N    ??(00000)::??
000230 0x1F17F030 0x000CC660 0x1F17F020 0x000CC680 0x00000000 new[]       N       N    ??(00000)::??
000191 0x1277F030 0x000CF7E0 0x1277F020 0x000CF800 0x00000000 new[]       N       N    ??(00000)::??
000094 0x1067F3E8 0x000004D0 0x1067F3D8 0x000004F0 0x00000220 new[]       N       N    ??(00000)::??
000074 0x1095F478 0x00000140 0x1095F468 0x00000160 0x00000018 new         N       N    ??(00000)::??
000108 0x1095F5E0 0x00000140 0x1095F5D0 0x00000160 0x00000018 new         N       N    ??(00000)::??
000007 0x00EBF698 0x00000238 0x00EBF688 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000320 0x10E8F748 0x00000030 0x10E8F738 0x00000050 0x00000000 new         N       N    ??(00000)::??
000344 0x10E8F7A0 0x00000030 0x10E8F790 0x00000050 0x0000000C new         N       N    ??(00000)::??
000350 0x10E8F7F8 0x0000002C 0x10E8F7E8 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000138 0x10E8F850 0x00000030 0x10E8F840 0x00000050 0x00000000 new         N       N    ??(00000)::??
000172 0x10E8F8A8 0x00000030 0x10E8F898 0x00000050 0x0000000C new         N       N    ??(00000)::??
000241 0x10E8F900 0x00000030 0x10E8F8F0 0x00000050 0x0000000C new         N       N    ??(00000)::??
000281 0x10E8F958 0x0000002C 0x10E8F948 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000247 0x10E8F9B0 0x0000002C 0x10E8F9A0 0x0000004C 0x00000004 new         N       N    ??(00000)::??
000170 0x10E8FA60 0x00000030 0x10E8FA50 0x00000050 0x0000000C new         N       N    ??(00000)::??
000239 0x10E8FAB8 0x00000030 0x10E8FAA8 0x00000050 0x0000000C new         N       N    ??(00000)::??
000251 0x10E8FB10 0x00000030 0x10E8FB00 0x00000050 0x00000000 new         N       N    ??(00000)::??
000204 0x10E8FB68 0x00000030 0x10E8FB58 0x00000050 0x0000000C new         N       N    ??(00000)::??
000354 0x10E8FBC0 0x00000030 0x10E8FBB0 0x00000050 0x00000000 new         N       N    ??(00000)::??
000342 0x10E8FC70 0x00000030 0x10E8FC60 0x00000050 0x0000000C new         N       N    ??(00000)::??
000285 0x10E8FCC8 0x00000030 0x10E8FCB8 0x00000050 0x00000000 new         N       N    ??(00000)::??
000183 0x10E8FDD0 0x00000030 0x10E8FDC0 0x00000050 0x00000000 new         N       N    ??(00000)::??
000334 0x1068FE40 0x00007B98 0x1068FE30 0x00007BB8 0x00003990 new[]       N       N    ??(00000)::??
000206 0x10E8FE80 0x00000030 0x10E8FE70 0x00000050 0x0000000C new         N       N    ??(00000)::??
000317 0x1B50FEC8 0x000000D4 0x1B50FEB8 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000377 0x10E8FF88 0x00000030 0x10E8FF78 0x00000050 0x00000008 new         N       N    ??(00000)::??
000136 0x10E8FFE0 0x00000030 0x10E8FFD0 0x00000050 0x00000000 new         N       N    ??(00000)::??
